date,temperature,humidity,luminosity
2023-12-07 15:50:53.318,21.4,35.7,102
2023-12-07 15:50:52.310,21.4,35.7,102
2023-12-07 15:50:51.311,21.4,35.7,102
2023-12-07 15:50:50.303,21.4,35.8,102
2023-12-07 15:50:49.300,21.4,35.8,100
2023-12-07 15:50:48.292,21.4,35.8,100
2023-12-07 15:50:47.292,21.4,35.8,102
2023-12-07 15:50:46.285,21.4,35.7,102
2023-12-07 15:50:45.281,21.4,35.7,102
2023-12-07 15:50:44.273,21.4,35.2,102
2023-12-07 15:50:43.274,21.4,35.2,102
2023-12-07 15:50:42.266,21.4,35.3,103
2023-12-07 15:50:41.262,21.4,35.3,102
2023-12-07 15:50:40.255,21.4,35.3,103
2023-12-07 15:50:39.255,21.4,35.3,104
2023-12-07 15:50:38.243,21.4,35.3,99
2023-12-07 15:50:37.244,21.4,35.3,99
2023-12-07 15:50:36.236,21.4,35.3,99
2023-12-07 15:50:35.232,21.4,35.3,99
2023-12-07 15:50:34.224,21.4,35.4,99
2023-12-07 15:50:33.225,21.4,35.4,98
2023-12-07 15:50:32.217,21.4,35.4,98
2023-12-07 15:50:31.214,21.4,35.4,98
2023-12-07 15:50:30.206,21.4,35.4,98
2023-12-07 15:50:29.207,21.4,35.4,99
2023-12-07 15:50:28.199,21.4,35.5,99
2023-12-07 15:50:27.199,21.4,35.5,99
2023-12-07 15:50:26.191,21.4,35.5,99
2023-12-07 15:50:25.188,21.4,35.5,99
2023-12-07 15:50:24.180,21.4,35.5,99
2023-12-07 15:50:23.180,21.4,35.5,98
2023-12-07 15:50:22.173,21.4,35.6,98
2023-12-07 15:50:21.169,21.4,35.6,97
2023-12-07 15:50:20.161,21.4,35.7,98
2023-12-07 15:50:19.161,21.4,35.7,99
2023-12-07 15:50:18.153,21.4,35.7,99
2023-12-07 15:50:17.150,21.4,35.7,99
2023-12-07 15:50:16.142,21.4,35.8,99
2023-12-07 15:50:15.142,21.4,35.8,100
2023-12-07 15:50:14.135,21.4,36.0,100
2023-12-07 15:50:13.131,21.4,36.0,103
2023-12-07 15:50:12.123,21.4,36.0,103
2023-12-07 15:50:11.124,21.4,36.0,102
2023-12-07 15:50:10.116,21.4,35.9,102
2023-12-07 15:50:09.112,21.4,35.9,102
2023-12-07 15:50:08.105,21.4,35.9,102
2023-12-07 15:50:07.105,21.4,35.9,103
2023-12-07 15:50:06.097,21.4,36.0,103
2023-12-07 15:50:05.094,21.4,36.0,104
2023-12-07 15:50:04.086,21.4,36.2,102
2023-12-07 15:50:03.087,21.4,36.2,103
2023-12-07 15:50:02.079,21.4,36.3,104
2023-12-07 15:50:01.075,21.4,36.3,103
2023-12-07 15:50:00.068,21.4,36.4,103
2023-12-07 15:49:59.068,21.4,36.4,103
2023-12-07 15:49:58.061,21.4,36.6,103
2023-12-07 15:49:57.057,21.4,36.6,103
2023-12-07 15:49:56.049,21.3,36.7,103
2023-12-07 15:49:55.049,21.3,36.7,103
2023-12-07 15:49:54.042,21.3,36.9,103
2023-12-07 15:49:53.038,21.3,36.9,103
2023-12-07 15:49:52.030,21.3,37.0,103
2023-12-07 15:49:51.031,21.3,37.0,103
2023-12-07 15:49:50.023,21.3,37.0,103
2023-12-07 15:49:49.020,21.3,37.0,103
2023-12-07 15:49:48.011,21.3,36.8,103
2023-12-07 15:49:47.012,21.3,36.8,102
2023-12-07 15:49:46.005,21.4,36.3,102
2023-12-07 15:49:45.001,21.4,36.3,102
2023-12-07 15:49:43.993,21.4,36.2,102
2023-12-07 15:49:42.994,21.4,36.2,102
2023-12-07 15:49:41.986,21.3,35.7,102
2023-12-07 15:49:40.982,21.3,35.7,102
2023-12-07 15:49:39.975,21.4,35.3,103
2023-12-07 15:49:38.975,21.4,35.3,103
2023-12-07 15:49:37.967,21.3,35.2,103
2023-12-07 15:49:36.964,21.3,35.2,103
2023-12-07 15:49:35.956,21.3,35.2,103
2023-12-07 15:49:34.956,21.3,35.2,103
2023-12-07 15:49:33.949,21.3,35.2,103
2023-12-07 15:49:32.945,21.3,35.2,103
2023-12-07 15:49:31.937,21.3,35.2,104
2023-12-07 15:49:30.937,21.3,35.2,103
2023-12-07 15:49:29.930,21.3,35.2,102
2023-12-07 15:49:28.927,21.3,35.2,103
2023-12-07 15:49:27.919,21.3,35.2,103
2023-12-07 15:49:26.919,21.3,35.2,104
2023-12-07 15:49:25.911,21.3,35.3,103
2023-12-07 15:49:24.907,21.3,35.3,103
2023-12-07 15:49:23.900,21.3,35.3,102
2023-12-07 15:49:22.900,21.3,35.3,103
2023-12-07 15:49:21.892,21.3,35.3,104
2023-12-07 15:49:20.889,21.3,35.3,104
2023-12-07 15:49:19.881,21.3,35.4,104
2023-12-07 15:49:18.882,21.3,35.4,104
2023-12-07 15:49:17.874,21.3,35.4,103
2023-12-07 15:49:16.870,21.3,35.4,103
2023-12-07 15:49:15.862,21.4,35.5,103
2023-12-07 15:49:14.863,21.4,35.5,103
2023-12-07 15:49:13.855,21.3,35.5,103
2023-12-07 15:49:12.851,21.3,35.5,103
2023-12-07 15:49:11.844,21.3,35.6,103
2023-12-07 15:49:10.844,21.3,35.6,104
2023-12-07 15:49:09.837,21.4,35.7,103
2023-12-07 15:49:08.833,21.4,35.7,103
2023-12-07 15:49:07.825,21.3,35.6,103
2023-12-07 15:49:06.826,21.3,35.6,103
2023-12-07 15:49:05.818,21.3,35.6,101
2023-12-07 15:49:04.814,21.3,35.6,101
2023-12-07 15:49:03.807,21.4,35.7,101
2023-12-07 15:49:02.807,21.4,35.7,101
2023-12-07 15:49:01.799,21.3,35.7,102
2023-12-07 15:49:00.795,21.3,35.7,102
2023-12-07 15:48:59.788,21.3,35.7,102
2023-12-07 15:48:58.788,21.3,35.7,102
2023-12-07 15:48:57.781,21.3,35.7,102
2023-12-07 15:48:56.777,21.3,35.7,102
2023-12-07 15:48:55.769,21.3,35.7,102
2023-12-07 15:48:54.769,21.3,35.7,102
2023-12-07 15:48:53.762,21.4,35.7,102
2023-12-07 15:48:52.758,21.4,35.7,102
2023-12-07 15:48:51.751,21.3,35.4,102
2023-12-07 15:48:50.751,21.3,35.4,102
